"Alcachofa", 128.73, 336
"Melon", 103.01, 460
"Papa", 9.14, 1090
"Melon", 107.44, 452
"Sandia", 57.84, 765
"Kinoto", 36.32, 206
"Lima", 977.93, 232
"Pomelo", 53.96, 765
"Berenjena", 48.41, 708
"Lima", 1448.23, 212
"Melon", 113.87, 404
"Durazno", 305.34, 680
"Ajo", 898.76, 120
"Zanahoria", 30.80, 666
"Ajo", 882.60, 82
"Ajo", 848.90, 97
"Pepino", 33.17, 555
"Calabaza", 23.72, 728
"Berenjena", 50.27, 672
"Berenjena", 61.88, 558
"Apio", 41.95, 318
"Repollo", 4.64, 791
"Lima", 1175.99, 186
"Cebolla", 60.35, 680
"Higo", 2469.87, 94
"Repollo", 4.48, 763
"Limon", 301.14, 595
"Brocoli", 336.73, 444
"Sandia", 54.07, 1026
"Choclo", 65.02, 264
"Lima", 1037.24, 184
"Repollo", 5.67, 686
"Manzana", 156.70, 870
"Limon", 309.75, 763
"Frutilla", 301.24, 357
"Pera", 166.44, 1040
"Pepino", 35.97, 470
"Alcachofa", 162.44, 327
"Berenjena", 51.30, 690
"Mandarina", 22.91, 1050
"Palta", 1144.16, 468
"Calabaza", 27.92, 848
"Cebolla", 60.74, 864
"Cebolla", 54.34, 856
"Palta", 1068.83, 336
"Lima", 1366.34, 232
"Ajo", 907.47, 80
"Alcachofa", 118.76, 309
"Pepino", 35.37, 555
"Apio", 59.08, 354
"Frambuesa", 2022.72, 92
"Batata", 23.65, 1120
"Lechuga", 45.67, 936
"Esparrago", 661.77, 232
"Durazno", 153.45, 768
"Apio", 54.04, 240
"Ciruela", 966.21, 909
"Frambuesa", 2098.02, 108
"Limon", 293.13, 812
"Banana", 68.78, 1190
"Palta", 1128.84, 340
"Banana", 59.70, 950
"Naranja", 16.01, 1040
"Brocoli", 376.06, 360
"Acelga", 21.54, 936
"Champignon", 3587.92, 90
"Uva", 687.03, 315
"Ciruela", 1045.24, 918
"Pera", 135.91, 990
"Zuccini", 64.66, 486
"Limon", 309.66, 581
"Sandia", 64.61, 927
"Apio", 64.15, 279
"Limon", 346.48, 728
"Tomate", 790.73, 819
"Palta", 1211.21, 456
"Brocoli", 344.28, 352
"Naranja", 11.90, 1090
"Pepino", 34.93, 600
"Mandarina", 19.32, 820
"Repollo", 6.69, 728
"Papa", 22.26, 820
"Berenjena", 48.98, 522
"Morron", 2979.14, 702
"Zanahoria", 41.69, 492
"Berenjena", 50.10, 636
"Frambuesa", 2037.49, 97
"Pera", 153.19, 840
"Esparrago", 664.96, 172
"Papa", 19.39, 890
"Durazno", 147.43, 776
"Frutilla", 289.10, 300
"Uva", 740.05, 300
"Ajo", 888.38, 93
"Choclo", 55.24, 258
"Pepino", 33.38, 485
"Higo", 2467.44, 90
"Durazno", 153.97, 736
"Higo", 2480.07, 120
"Palta", 531.17, 440
"Pepino", 39.26, 455
"Mandarina", 23.46, 1180
"Frambuesa", 2076.32, 83
"Choclo", 56.89, 300
"Frambuesa", 2112.51, 118
"Pomelo", 59.05, 774
"Lechuga", 42.69, 855
"Lima", 1274.69, 230
"Papa", 14.40, 850
"Banana", 65.59, 840
"Brocoli", 375.96, 344
"Melon", 107.66, 432
"Mandarina", 29.01, 870
"Cebolla", 58.65, 904
"Uva", 693.84, 249
"Coliflor", 30.22, 555
"Pera", 157.25, 1100
"Frutilla", 290.85, 288
"Frutilla", 308.36, 267
"Lima", 973.10, 196
"Durazno", 159.87, 672
"Kinoto", 37.74, 214
"Pomelo", 59.07, 1053
"Brocoli", 364.38, 356
"Naranja", 4.39, 1120
"Coliflor", 27.05, 445
"Naranja", 20.72, 960
"Mandarina", 16.04, 950
"Repollo", 6.50, 581
"Zanahoria", 30.58, 594
"Coliflor", 29.77, 535
"Rabanito", 240.58, 246
"Palta", 436.84, 585
"Papa", 11.23, 1060
"Papa", 11.77, 900
"Rabanito", 230.84, 351
"Naranja", 12.38, 1050
"Durazno", 138.51, 680
"Papa", 11.59, 1200
"Pera", 141.30, 920
